Wavelength,Cm, Ch, Bm,Eumelanin,Pheomelanin,Baseline,Epidermis,ScatteringEpi,ScatteringDerm,Dermis,Reflectance
520,0.5,0.07,0.01,59.600897723131226,36.42353690431384,0.05547659875544882,18.38216101452824,3.1486794177464876,1.5743397088732438,0.8923315265789799,0.009090054789307958
530,0.5,0.07,0.01,55.937788142581304,33.272667289100454,0.0501710828681783,16.798952337735614,2.92735387048328,1.46367693524164,1.1213761374947184,0.010540984994560021
540,0.5,0.07,0.01,52.56210086872165,30.445817427149983,0.04577134496039612,15.37846047720644,2.725918070164087,1.3629590350820435,1.746504714556922,0.010559809428340153
550,0.5,0.07,0.01,49.446570979460446,27.904562818376924,0.04212274714851879,14.101377049067299,2.542261924727234,1.271130962363617,2.1042821908393687,0.01028047367946724
560,0.5,0.07,0.01,46.566951262504844,25.615619859870165,0.03909705192033498,12.950979440459985,2.374532022966332,1.187266011483166,1.7155502180800137,0.011404064154503884
570,0.5,0.07,0.01,43.90163211523481,23.550082531374215,0.03658791496255562,11.91274664005712,2.2210965595934575,1.1105482797967288,1.4232593732640624,0.010139459797385439
580,0.5,0.07,0.01,41.43131493009177,21.68278325152247,0.03450714747009626,10.97403755654345,2.080515561559256,1.040257780779628,1.6108639153003033,0.01166138404177602
590,0.5,0.07,0.01,39.13873067627961,19.99175600117882,0.03278161656822498,10.123820812243196,1.951515540119741,0.9757577700598705,1.5426590832385916,0.011214433756644838
600,0.5,0.07,0.01,37.00839678761747,18.457783964937395,0.03135067490650499,9.352447084677738,1.8329678495970294,0.9164839247985147,0.4537334289364135,0.013326956760728122
610,0.5,0.07,0.01,35.02640661061503,17.06401725504145,0.03016402908229783,8.65145673287195,1.723870160226765,0.8619350801133825,0.1665336782932576,0.013914212629513681
620,0.5,0.07,0.01,33.180246605964626,15.795648934622525,0.02917997197516482,8.013416778133571,1.623330555056699,0.8116652775283495,0.10114211617558323,0.020118131584668377
630,0.5,0.07,0.01,31.458637270048442,14.639639689064044,0.02836391686390531,7.431782380755731,1.5305538443660498,0.7652769221830249,0.07597649098784023,0.019887960057251224
640,0.5,0.07,0.01,29.851394382075767,13.58448321402264,0.02768718180474503,6.900778818974748,1.4448297592946615,0.7224148796473308,0.057749935535488905,0.023265966645781677
650,0.5,0.07,0.01,28.34930771212457,12.620005780844819,0.027125981545132852,6.415300676946901,1.365522742290122,0.682761371145061,0.04852590139858816,0.02895468579355486
660,0.5,0.07,0.01,26.944034765724194,11.737194571071123,0.026660591541872836,5.970825517698716,1.2920630979668408,0.6460315489834204,0.04357810450937592,0.029489907800048818
670,0.5,0.07,0.01,25.628007507825494,10.928050293523707,0.026274654701280434,5.563339781077371,1.223939305907184,0.611969652953592,0.03928298002105337,0.03306382186850863
680,0.5,0.07,0.01,24.394350316093952,10.185460351239715,0.02595460647531279,5.189275026306125,1.1606913283256337,0.5803456641628169,0.034607144881542866,0.03940672588572687
690,0.5,0.07,0.01,23.236807670989165,9.503089443808602,0.02568919810748813,4.84545295018081,1.101904771568543,0.5509523857842715,0.03007486679679748,0.045517212329515014
700,0.5,0.07,0.01,22.14968030664257,8.875284999387258,0.0254691012720866,4.529037868229731,1.0472057821044447,0.5236028910522224,0.02692803849281284,0.04787040169464858
